Area of Usual Residence,Area of Workplace,Females
S02001236,England,1
S02001236,OD0000001,121
S02001236,OD0000003,57
S02001236,OD0000004,3
S02001236,S02001236,108
S02001236,S02001237,53
S02001236,S02001238,74
S02001236,S02001239,33
S02001236,S02001240,8
S02001236,S02001241,4
S02001236,S02001242,10
S02001236,S02001243,14
S02001236,S02001244,20
S02001236,S02001245,77
S02001236,S02001246,3
S02001236,S02001247,52
S02001236,S02001248,5
S02001236,S02001249,92
S02001236,S02001250,39
S02001236,S02001251,8
S02001236,S02001252,1
S02001236,S02001253,4
S02001236,S02001254,11
S02001236,S02001256,63
S02001236,S02001257,6
S02001236,S02001258,2
S02001236,S02001259,13
S02001236,S02001260,10
S02001236,S02001261,50
S02001236,S02001262,17
S02001236,S02001263,12
S02001236,S02001264,22
S02001236,S02001265,4
S02001236,S02001266,2
S02001236,S02001268,1
S02001236,S02001269,5
S02001236,S02001270,8
S02001236,S02001272,6
S02001236,S02001273,2
S02001236,S02001274,2
S02001236,S02001275,4
S02001236,S02001277,46
S02001236,S02001278,11
S02001236,S02001281,1
S02001236,S02001282,5
S02001236,S02001283,6
S02001236,S02001284,3
S02001236,S02001286,1
S02001236,S02001287,1
S02001236,S02001288,1
S02001236,S02001290,1
S02001236,S02001291,4
S02001236,S02001292,4
S02001236,S02001294,5
S02001236,S02001295,14
S02001236,S02001296,16
S02001236,S02001297,5
S02001236,S02001298,16
S02001236,S02001299,4
S02001236,S02001301,1
S02001236,S02001302,1
S02001236,S02001303,1
S02001236,S02001304,4
S02001236,S02001305,3
S02001236,S02001306,5
S02001236,S02001307,1
S02001236,S02001308,7
S02001236,S02001309,10
S02001236,S02001310,34
S02001236,S02001311,1
S02001236,S02001312,3
S02001236,S02001313,1
S02001236,S02001317,1
S02001236,S02001328,1
S02001236,S02001932,1
S02001237,England,3
S02001237,OD0000001,129
S02001237,OD0000003,44
S02001237,S02001236,9
S02001237,S02001237,36
S02001237,S02001238,48
S02001237,S02001239,16
S02001237,S02001240,9
S02001237,S02001241,2
S02001237,S02001242,7
S02001237,S02001243,12
S02001237,S02001244,15
S02001237,S02001245,53
S02001237,S02001246,5
S02001237,S02001247,33
S02001237,S02001248,5
S02001237,S02001249,58
S02001237,S02001250,31
S02001237,S02001251,11
S02001237,S02001252,2
S02001237,S02001253,3
S02001237,S02001256,49
S02001237,S02001257,6
S02001237,S02001258,4
S02001237,S02001259,4
S02001237,S02001260,5
S02001237,S02001261,47
S02001237,S02001262,17
S02001237,S02001263,2
S02001237,S02001264,19
S02001237,S02001265,10
S02001237,S02001267,2
S02001237,S02001268,1
S02001237,S02001269,8
S02001237,S02001270,2
S02001237,S02001271,1
S02001237,S02001272,5
S02001237,S02001274,1
S02001237,S02001275,3
S02001237,S02001276,6
S02001237,S02001277,20
S02001237,S02001278,14
S02001237,S02001279,1
S02001237,S02001280,1
S02001237,S02001281,2
S02001237,S02001282,3
S02001237,S02001283,5
S02001237,S02001284,2
S02001237,S02001290,2
S02001237,S02001291,2
S02001237,S02001292,1
S02001237,S02001294,3
S02001237,S02001295,4
S02001237,S02001296,4
S02001237,S02001297,1
S02001237,S02001298,10
S02001237,S02001299,7
S02001237,S02001303,1
S02001237,S02001304,2
S02001237,S02001305,1
S02001237,S02001306,1
S02001237,S02001308,1
S02001237,S02001309,7
S02001237,S02001310,20
S02001237,S02001313,1
S02001237,S02001338,1
S02001237,S02001357,2
S02001237,S02001359,1
S02001237,S02001448,1
S02001237,S02001620,1
S02001237,S02001670,1
S02001237,S02002324,1
S02001238,England,2
S02001238,OD0000001,197
S02001238,OD0000002,1
S02001238,OD0000003,43
S02001238,OD0000004,5
S02001238,S02001236,12
S02001238,S02001237,41
S02001238,S02001238,99
S02001238,S02001239,40
S02001238,S02001240,5
S02001238,S02001241,4
S02001238,S02001242,14
S02001238,S02001243,30
S02001238,S02001244,17
S02001238,S02001245,102
S02001238,S02001246,6
S02001238,S02001247,63
S02001238,S02001248,9
S02001238,S02001249,125
S02001238,S02001250,39
S02001238,S02001251,16
S02001238,S02001252,3
S02001238,S02001253,4
S02001238,S02001254,5
S02001238,S02001255,4
S02001238,S02001256,78
S02001238,S02001257,11
S02001238,S02001258,3
S02001238,S02001259,11
S02001238,S02001260,5
S02001238,S02001261,42
S02001238,S02001262,20
S02001238,S02001263,9
S02001238,S02001264,22
S02001238,S02001265,8
S02001238,S02001266,3
S02001238,S02001267,1
S02001238,S02001268,3
S02001238,S02001269,14
S02001238,S02001270,3
S02001238,S02001271,1
S02001238,S02001272,1
S02001238,S02001273,6
S02001238,S02001275,2
S02001238,S02001276,2
S02001238,S02001277,42
S02001238,S02001278,5
S02001238,S02001279,2
S02001238,S02001281,3
S02001238,S02001282,6
S02001238,S02001283,14
S02001238,S02001284,8
S02001238,S02001286,1
S02001238,S02001287,1
S02001238,S02001288,2
S02001238,S02001291,1
S02001238,S02001292,2
S02001238,S02001294,1
S02001238,S02001295,7
S02001238,S02001296,5
S02001238,S02001297,5
S02001238,S02001298,9
S02001238,S02001299,2
S02001238,S02001301,1
S02001238,S02001303,2
S02001238,S02001304,6
S02001238,S02001306,1
S02001238,S02001307,1
S02001238,S02001308,1
S02001238,S02001309,3
S02001238,S02001310,18
S02001238,S02001313,1
S02001238,S02001333,1
S02001238,S02001623,1
S02001238,S02001627,1
S02001238,S02001784,1
S02001238,S02001933,1
S02001238,S02002324,1
S02001238,S02002328,1
S02001239,OD0000001,110
S02001239,OD0000002,4
S02001239,OD0000003,49
S02001239,OD0000004,1
S02001239,S02001236,3
S02001239,S02001237,3
S02001239,S02001238,26
S02001239,S02001239,194
S02001239,S02001240,18
S02001239,S02001241,12
S02001239,S02001242,13
S02001239,S02001243,7
S02001239,S02001244,13
S02001239,S02001245,64
S02001239,S02001246,7
S02001239,S02001247,44
S02001239,S02001248,13
S02001239,S02001249,115
S02001239,S02001250,68
S02001239,S02001251,18
S02001239,S02001252,13
S02001239,S02001253,16
S02001239,S02001254,11
S02001239,S02001255,1
S02001239,S02001256,61
S02001239,S02001257,20
S02001239,S02001259,23
S02001239,S02001260,15
S02001239,S02001261,74
S02001239,S02001262,18
S02001239,S02001263,9
S02001239,S02001264,21
S02001239,S02001265,8
S02001239,S02001266,4
S02001239,S02001267,1
S02001239,S02001268,1
S02001239,S02001269,6
S02001239,S02001270,2
S02001239,S02001272,1
S02001239,S02001273,2
S02001239,S02001274,1
S02001239,S02001275,8
S02001239,S02001276,4
S02001239,S02001277,27
S02001239,S02001278,9
S02001239,S02001279,4
S02001239,S02001281,6
S02001239,S02001282,3
S02001239,S02001283,6
S02001239,S02001284,9
S02001239,S02001290,1
S02001239,S02001291,1
S02001239,S02001292,1
S02001239,S02001294,5
S02001239,S02001295,6
S02001239,S02001296,4
S02001239,S02001297,1
S02001239,S02001299,1
S02001239,S02001300,1
S02001239,S02001302,2
S02001239,S02001303,2
S02001239,S02001304,4
S02001239,S02001308,2
S02001239,S02001309,2
S02001239,S02001310,6
S02001239,S02001311,1
S02001239,S02001312,2
S02001239,S02001313,2
S02001239,S02001315,1
S02001239,S02001316,2
S02001239,S02001317,1
S02001239,S02001336,1
S02001239,S02001359,1
S02001239,S02001446,1
S02001239,S02001998,1
S02001240,England,2
S02001240,OD0000001,99
S02001240,OD0000002,4
S02001240,OD0000003,31
S02001240,OD0000004,1
S02001240,S02001236,8
S02001240,S02001237,2
S02001240,S02001238,24
S02001240,S02001239,51
S02001240,S02001240,21
S02001240,S02001241,2
S02001240,S02001242,9
S02001240,S02001243,32
S02001240,S02001244,15
S02001240,S02001245,98
S02001240,S02001246,9
S02001240,S02001247,95
S02001240,S02001248,8
S02001240,S02001249,143
S02001240,S02001250,52
S02001240,S02001251,16
S02001240,S02001252,8
S02001240,S02001253,3
S02001240,S02001254,22
S02001240,S02001255,3
S02001240,S02001256,84
S02001240,S02001257,8
S02001240,S02001258,2
S02001240,S02001259,12
S02001240,S02001260,4
S02001240,S02001261,69
S02001240,S02001262,13
S02001240,S02001263,10
S02001240,S02001264,31
S02001240,S02001265,11
S02001240,S02001266,1
S02001240,S02001267,1
S02001240,S02001268,2
S02001240,S02001269,3
S02001240,S02001270,8
S02001240,S02001271,2
S02001240,S02001272,7
S02001240,S02001273,2
S02001240,S02001274,1
S02001240,S02001275,1
S02001240,S02001276,2
S02001240,S02001277,56
S02001240,S02001278,10
S02001240,S02001282,11
S02001240,S02001283,4
S02001240,S02001284,10
S02001240,S02001290,1
S02001240,S02001291,2
S02001240,S02001292,2
S02001240,S02001294,3
S02001240,S02001295,12
S02001240,S02001296,3
S02001240,S02001298,4
S02001240,S02001301,1
S02001240,S02001302,2
S02001240,S02001303,5
S02001240,S02001304,5
S02001240,S02001306,1
S02001240,S02001307,4
S02001240,S02001308,6
S02001240,S02001309,2
S02001240,S02001310,22
S02001240,S02001311,1
S02001240,S02001312,2
S02001240,S02001315,1
S02001240,S02001326,1
S02001240,S02001334,1
S02001240,S02001453,2
S02001240,S02001593,1
S02001240,S02001620,1
S02001240,S02001835,1
S02001240,S02001934,1
S02001240,S02002087,1
S02001241,England,1
S02001241,OD0000001,71
S02001241,OD0000002,3
S02001241,OD0000003,40
S02001241,S02001236,3
S02001241,S02001237,9
S02001241,S02001238,24
S02001241,S02001239,27
S02001241,S02001240,11
S02001241,S02001241,10
S02001241,S02001242,21
S02001241,S02001243,26
S02001241,S02001244,25
S02001241,S02001245,74
S02001241,S02001246,6
S02001241,S02001247,67
S02001241,S02001248,8
S02001241,S02001249,96
S02001241,S02001250,32
S02001241,S02001251,6
S02001241,S02001252,2
S02001241,S02001253,4
S02001241,S02001254,11
S02001241,S02001256,71
S02001241,S02001257,7
S02001241,S02001258,2
S02001241,S02001259,13
S02001241,S02001260,4
S02001241,S02001261,64
S02001241,S02001262,12
S02001241,S02001263,8
S02001241,S02001264,15
S02001241,S02001265,4
S02001241,S02001266,1
S02001241,S02001267,1
S02001241,S02001269,2
S02001241,S02001270,5
S02001241,S02001271,1
S02001241,S02001272,3
S02001241,S02001273,1
S02001241,S02001274,2
S02001241,S02001275,4
S02001241,S02001276,3
S02001241,S02001277,31
S02001241,S02001278,12
S02001241,S02001281,3
S02001241,S02001282,3
S02001241,S02001283,6
S02001241,S02001284,7
S02001241,S02001291,2
S02001241,S02001292,3
S02001241,S02001294,1
S02001241,S02001295,5
S02001241,S02001296,1
S02001241,S02001297,2
S02001241,S02001298,3
S02001241,S02001300,1
S02001241,S02001302,3
S02001241,S02001305,3
S02001241,S02001307,3
S02001241,S02001308,1
S02001241,S02001309,9
S02001241,S02001310,19
S02001241,S02001311,1
S02001241,S02001312,1
S02001241,S02001313,1
S02001241,S02001315,1
S02001241,S02001336,1
S02001241,S02001446,1
S02001241,S02001998,1
S02001242,England,4
S02001242,OD0000001,91
S02001242,OD0000002,3
S02001242,OD0000003,38
S02001242,S02001236,7
S02001242,S02001237,11
S02001242,S02001238,12
S02001242,S02001239,22
S02001242,S02001240,3
S02001242,S02001241,5
S02001242,S02001242,30
S02001242,S02001243,42
S02001242,S02001244,23
S02001242,S02001245,81
S02001242,S02001246,6
S02001242,S02001247,89
S02001242,S02001248,17
S02001242,S02001249,98
S02001242,S02001250,46
S02001242,S02001251,11
S02001242,S02001252,5
S02001242,S02001253,1
S02001242,S02001254,7
S02001242,S02001256,58
S02001242,S02001257,11
S02001242,S02001258,3
S02001242,S02001259,11
S02001242,S02001260,3
S02001242,S02001261,53
S02001242,S02001262,17
S02001242,S02001263,9
S02001242,S02001264,15
S02001242,S02001265,10
S02001242,S02001266,3
S02001242,S02001267,1
S02001242,S02001269,7
S02001242,S02001270,3
S02001242,S02001271,2
S02001242,S02001272,2
S02001242,S02001273,2
S02001242,S02001274,2
S02001242,S02001275,7
S02001242,S02001276,2
S02001242,S02001277,51
S02001242,S02001278,9
S02001242,S02001279,2
S02001242,S02001281,5
S02001242,S02001282,5
S02001242,S02001283,3
S02001242,S02001284,16
S02001242,S02001289,2
S02001242,S02001292,2
S02001242,S02001294,3
S02001242,S02001295,8
S02001242,S02001297,1
S02001242,S02001298,4
S02001242,S02001299,1
S02001242,S02001302,2
S02001242,S02001305,2
S02001242,S02001306,2
S02001242,S02001309,10
S02001242,S02001310,29
S02001242,S02001311,1
S02001242,S02001334,2
S02001242,S02001451,1
S02001242,S02001471,3
S02001242,S02002427,1
S02001243,England,4
S02001243,OD0000001,106
S02001243,OD0000003,45
S02001243,OD0000004,1
S02001243,S02001236,6
S02001243,S02001237,7
S02001243,S02001238,25
S02001243,S02001239,28
S02001243,S02001240,13
S02001243,S02001241,3
S02001243,S02001242,16
S02001243,S02001243,57
S02001243,S02001244,41
S02001243,S02001245,91
S02001243,S02001246,13
S02001243,S02001247,70
S02001243,S02001248,6
S02001243,S02001249,122
S02001243,S02001250,32
S02001243,S02001251,9
S02001243,S02001252,4
S02001243,S02001253,2
S02001243,S02001254,8
S02001243,S02001255,1
S02001243,S02001256,31
S02001243,S02001257,6
S02001243,S02001258,5
S02001243,S02001259,10
S02001243,S02001260,10
S02001243,S02001261,67
S02001243,S02001262,20
S02001243,S02001263,9
S02001243,S02001264,25
S02001243,S02001265,3
S02001243,S02001266,5
S02001243,S02001267,1
S02001243,S02001268,1
S02001243,S02001269,7
S02001243,S02001270,8
S02001243,S02001271,9
S02001243,S02001272,5
S02001243,S02001273,1
S02001243,S02001274,2
S02001243,S02001275,13
S02001243,S02001276,2
S02001243,S02001277,37
S02001243,S02001278,5
S02001243,S02001279,3
S02001243,S02001281,3
S02001243,S02001282,16
S02001243,S02001283,5
S02001243,S02001284,12
S02001243,S02001291,2
S02001243,S02001292,2
S02001243,S02001293,1
S02001243,S02001294,1
S02001243,S02001295,8
S02001243,S02001297,2
S02001243,S02001298,2
S02001243,S02001299,2
S02001243,S02001303,2
S02001243,S02001304,6
S02001243,S02001305,1
S02001243,S02001306,1
S02001243,S02001307,1
S02001243,S02001308,3
S02001243,S02001309,14
S02001243,S02001310,32
S02001243,S02001311,1
S02001243,S02001313,3
S02001243,S02001328,1
S02001243,S02001334,1
S02001243,S02001338,1
S02001243,S02001357,3
S02001243,S02001362,1
S02001243,S02001446,1
S02001243,S02001620,1
S02001243,S02002033,1
S02001243,S02002079,1
S02001243,S02002091,1
S02001244,OD0000001,102
S02001244,OD0000002,2
S02001244,OD0000003,58
S02001244,S02001236,3
S02001244,S02001238,7
S02001244,S02001239,15
S02001244,S02001240,4
S02001244,S02001241,2
S02001244,S02001242,2
S02001244,S02001243,22
S02001244,S02001244,102
S02001244,S02001245,86
S02001244,S02001246,6
S02001244,S02001247,39
S02001244,S02001248,8
S02001244,S02001249,62
S02001244,S02001250,44
S02001244,S02001251,10
S02001244,S02001252,5
S02001244,S02001253,4
S02001244,S02001254,2
S02001244,S02001256,27
S02001244,S02001257,9
S02001244,S02001258,6
S02001244,S02001259,8
S02001244,S02001260,3
S02001244,S02001261,50
S02001244,S02001262,24
S02001244,S02001263,7
S02001244,S02001264,10
S02001244,S02001265,2
S02001244,S02001266,5
S02001244,S02001267,1
S02001244,S02001268,3
S02001244,S02001269,7
S02001244,S02001270,19
S02001244,S02001271,5
S02001244,S02001272,9
S02001244,S02001273,8
S02001244,S02001274,1
S02001244,S02001275,9
S02001244,S02001276,3
S02001244,S02001277,33
S02001244,S02001278,14
S02001244,S02001279,7
S02001244,S02001280,1
S02001244,S02001281,4
S02001244,S02001282,2
S02001244,S02001283,6
S02001244,S02001284,9
S02001244,S02001286,1
S02001244,S02001290,1
S02001244,S02001291,3
S02001244,S02001292,1
S02001244,S02001295,7
S02001244,S02001296,2
S02001244,S02001297,2
S02001244,S02001301,2
S02001244,S02001304,3
S02001244,S02001307,1
S02001244,S02001308,2
S02001244,S02001309,3
S02001244,S02001310,14
S02001244,S02001317,3
S02001244,S02001446,1
S02001244,S02001653,1
S02001244,S02002087,1
S02001244,S02002241,1
S02001245,England,2
S02001245,OD0000001,111
S02001245,OD0000002,3
S02001245,OD0000003,40
S02001245,S02001236,2
S02001245,S02001237,2
S02001245,S02001238,11
S02001245,S02001239,22
S02001245,S02001240,2
S02001245,S02001241,3
S02001245,S02001242,9
S02001245,S02001243,26
S02001245,S02001244,19
S02001245,S02001245,169
S02001245,S02001246,18
S02001245,S02001247,79
S02001245,S02001248,7
S02001245,S02001249,138
S02001245,S02001250,41
S02001245,S02001251,13
S02001245,S02001252,2
S02001245,S02001253,2
S02001245,S02001256,41
S02001245,S02001257,3
S02001245,S02001258,5
S02001245,S02001259,21
S02001245,S02001260,4
S02001245,S02001261,64
S02001245,S02001262,19
S02001245,S02001263,18
S02001245,S02001264,23
S02001245,S02001265,9
S02001245,S02001266,4
S02001245,S02001267,1
S02001245,S02001268,1
S02001245,S02001269,7
S02001245,S02001270,6
S02001245,S02001271,1
S02001245,S02001272,7
S02001245,S02001273,1
S02001245,S02001274,3
S02001245,S02001275,1
S02001245,S02001276,3
S02001245,S02001277,27
S02001245,S02001278,9
S02001245,S02001279,4
S02001245,S02001281,7
S02001245,S02001282,10
S02001245,S02001283,8
S02001245,S02001284,6
S02001245,S02001290,1
S02001245,S02001291,2
S02001245,S02001292,5
S02001245,S02001294,3
S02001245,S02001295,3
S02001245,S02001298,2
S02001245,S02001301,1
S02001245,S02001302,3
S02001245,S02001303,2
S02001245,S02001304,1
S02001245,S02001305,1
S02001245,S02001306,1
S02001245,S02001307,3
S02001245,S02001308,2
S02001245,S02001309,1
S02001245,S02001310,21
S02001245,S02001312,2
S02001245,S02001313,3
S02001245,S02001315,1
S02001245,S02001317,1
S02001245,S02001334,1
S02001245,S02001335,1
S02001245,S02001342,1
S02001245,S02001446,1
S02001245,S02001622,2
S02001245,S02001724,2
S02001245,S02001860,1
S02001245,S02001958,1
S02001245,S02002087,1
S02001246,England,1
S02001246,OD0000001,129
S02001246,OD0000002,7
S02001246,OD0000003,69
S02001246,OD0000004,2
S02001246,S02001237,1
S02001246,S02001238,21
S02001246,S02001239,50
S02001246,S02001240,6
S02001246,S02001241,1
S02001246,S02001242,8
S02001246,S02001243,33
S02001246,S02001244,21
S02001246,S02001245,201
S02001246,S02001246,38
S02001246,S02001247,87
S02001246,S02001248,8
S02001246,S02001249,218
S02001246,S02001250,104
S02001246,S02001251,15
S02001246,S02001252,10
S02001246,S02001253,6
S02001246,S02001254,6
S02001246,S02001256,74
S02001246,S02001257,21
S02001246,S02001258,8
S02001246,S02001259,29
S02001246,S02001260,17
S02001246,S02001261,114
S02001246,S02001262,40
S02001246,S02001263,17
S02001246,S02001264,64
S02001246,S02001265,21
S02001246,S02001266,4
S02001246,S02001267,3
S02001246,S02001268,3
S02001246,S02001269,9
S02001246,S02001270,7
S02001246,S02001271,2
S02001246,S02001272,10
S02001246,S02001273,4
S02001246,S02001274,1
S02001246,S02001275,6
S02001246,S02001276,8
S02001246,S02001277,65
S02001246,S02001278,22
S02001246,S02001279,2
S02001246,S02001281,4
S02001246,S02001282,11
S02001246,S02001283,12
S02001246,S02001284,19
S02001246,S02001290,1
S02001246,S02001291,1
S02001246,S02001292,6
S02001246,S02001294,3
S02001246,S02001295,19
S02001246,S02001296,1
S02001246,S02001297,2
S02001246,S02001298,2
S02001246,S02001299,1
S02001246,S02001302,3
S02001246,S02001303,1
S02001246,S02001304,9
S02001246,S02001306,1
S02001246,S02001307,3
S02001246,S02001308,3
S02001246,S02001309,2
S02001246,S02001310,25
S02001246,S02001313,1
S02001246,S02001314,1
S02001246,S02001323,1
S02001246,S02001334,1
S02001246,S02001338,1
S02001246,S02001342,1
S02001246,S02001357,1
S02001246,S02001369,2
S02001246,S02001475,1
S02001246,S02001605,1
S02001246,S02001622,1
S02001246,S02001694,1
S02001246,S02001934,2
S02001246,S02001952,1
S02001246,S02001997,1
S02001246,S02002328,1
S02001247,England,7
S02001247,OD0000001,89
S02001247,OD0000003,27
S02001247,OD0000004,5
S02001247,S02001236,2
S02001247,S02001237,2
S02001247,S02001238,10
S02001247,S02001239,26
S02001247,S02001240,3
S02001247,S02001241,3
S02001247,S02001242,6
S02001247,S02001243,16
S02001247,S02001244,7
S02001247,S02001245,77
S02001247,S02001246,7
S02001247,S02001247,89
S02001247,S02001248,6
S02001247,S02001249,105
S02001247,S02001250,27
S02001247,S02001251,9
S02001247,S02001252,3
S02001247,S02001253,3
S02001247,S02001254,6
S02001247,S02001256,54
S02001247,S02001257,13
S02001247,S02001258,2
S02001247,S02001259,6
S02001247,S02001260,7
S02001247,S02001261,28
S02001247,S02001262,18
S02001247,S02001263,6
S02001247,S02001264,19
S02001247,S02001265,4
S02001247,S02001267,2
S02001247,S02001268,5
S02001247,S02001269,3
S02001247,S02001270,4
S02001247,S02001272,1
S02001247,S02001273,3
S02001247,S02001277,28
S02001247,S02001278,12
S02001247,S02001279,3
S02001247,S02001281,1
S02001247,S02001282,10
S02001247,S02001283,4
S02001247,S02001284,9
S02001247,S02001285,1
S02001247,S02001286,1
S02001247,S02001289,1
S02001247,S02001293,1
S02001247,S02001294,3
S02001247,S02001295,4
S02001247,S02001296,1
S02001247,S02001301,1
S02001247,S02001302,1
S02001247,S02001304,3
S02001247,S02001306,1
S02001247,S02001307,6
S02001247,S02001308,1
S02001247,S02001309,2
S02001247,S02001310,11
S02001247,S02001312,1
S02001247,S02001313,1
S02001247,S02001316,2
S02001247,S02001321,1
S02001247,S02001323,1
S02001247,S02001329,1
S02001247,S02001336,1
S02001247,S02001358,1
S02001247,S02001609,1
S02001247,S02001855,1
S02001247,S02001890,1
S02001247,S02001988,1
S02001248,England,3
S02001248,OD0000001,157
S02001248,OD0000002,9
S02001248,OD0000003,48
S02001248,OD0000004,2
S02001248,S02001236,7
S02001248,S02001237,5
S02001248,S02001238,25
S02001248,S02001239,42
S02001248,S02001240,14
S02001248,S02001241,5
S02001248,S02001242,14
S02001248,S02001243,48
S02001248,S02001244,21
S02001248,S02001245,109
S02001248,S02001246,11
S02001248,S02001247,148
S02001248,S02001248,29
S02001248,S02001249,204
S02001248,S02001250,108
S02001248,S02001251,32
S02001248,S02001252,10
S02001248,S02001253,9
S02001248,S02001254,14
S02001248,S02001256,112
S02001248,S02001257,16
S02001248,S02001258,5
S02001248,S02001259,14
S02001248,S02001260,8
S02001248,S02001261,90
S02001248,S02001262,36
S02001248,S02001263,13
S02001248,S02001264,49
S02001248,S02001265,11
S02001248,S02001266,5
S02001248,S02001267,2
S02001248,S02001268,3
S02001248,S02001269,8
S02001248,S02001270,11
S02001248,S02001272,4
S02001248,S02001273,3
S02001248,S02001274,1
S02001248,S02001275,3
S02001248,S02001276,1
S02001248,S02001277,70
S02001248,S02001278,24
S02001248,S02001279,2
S02001248,S02001280,1
S02001248,S02001281,5
S02001248,S02001282,10
S02001248,S02001283,12
S02001248,S02001284,13
S02001248,S02001286,1
S02001248,S02001287,1
S02001248,S02001291,6
S02001248,S02001292,3
S02001248,S02001294,5
S02001248,S02001295,5
S02001248,S02001296,3
S02001248,S02001297,1
S02001248,S02001298,5
S02001248,S02001299,2
S02001248,S02001301,2
S02001248,S02001302,2
S02001248,S02001303,3
S02001248,S02001304,4
S02001248,S02001305,4
S02001248,S02001306,1
S02001248,S02001307,2
S02001248,S02001308,1
S02001248,S02001309,9
S02001248,S02001310,33
S02001248,S02001311,2
S02001248,S02001312,2
S02001248,S02001313,1
S02001248,S02001317,1
S02001248,S02001322,1
S02001248,S02001323,1
S02001248,S02001326,1
S02001248,S02001333,1
S02001248,S02001334,1
S02001248,S02001336,1
S02001248,S02001338,1
S02001248,S02001342,1
S02001248,S02001343,2
S02001248,S02001357,1
S02001248,S02001364,1
S02001248,S02001449,1
S02001248,S02001461,1
S02001248,S02001620,1
S02001248,S02002080,1
S02001248,S02002088,1
S02001248,S02002347,1
S02001249,England,1
S02001249,OD0000001,96
S02001249,OD0000002,5
S02001249,OD0000003,37
S02001249,OD0000004,1
S02001249,S02001236,3
S02001249,S02001237,3
S02001249,S02001238,18
S02001249,S02001239,78
S02001249,S02001240,5
S02001249,S02001241,1
S02001249,S02001242,5
S02001249,S02001243,14
S02001249,S02001244,7
S02001249,S02001245,85
S02001249,S02001246,8
S02001249,S02001247,80
S02001249,S02001248,11
S02001249,S02001249,188
S02001249,S02001250,74
S02001249,S02001251,12
S02001249,S02001252,3
S02001249,S02001253,1
S02001249,S02001254,9
S02001249,S02001255,2
S02001249,S02001256,53
S02001249,S02001257,5
S02001249,S02001258,2
S02001249,S02001259,22
S02001249,S02001260,14
S02001249,S02001261,83
S02001249,S02001262,13
S02001249,S02001263,10
S02001249,S02001264,50
S02001249,S02001265,7
S02001249,S02001266,1
S02001249,S02001267,2
S02001249,S02001268,1
S02001249,S02001269,5
S02001249,S02001270,5
S02001249,S02001272,7
S02001249,S02001273,1
S02001249,S02001274,1
S02001249,S02001275,3
S02001249,S02001276,2
S02001249,S02001277,34
S02001249,S02001278,18
S02001249,S02001279,3
S02001249,S02001281,1
S02001249,S02001282,7
S02001249,S02001283,7
S02001249,S02001284,19
S02001249,S02001287,1
S02001249,S02001289,1
S02001249,S02001291,1
S02001249,S02001292,4
S02001249,S02001294,3
S02001249,S02001295,13
S02001249,S02001296,1
S02001249,S02001297,3
S02001249,S02001304,3
S02001249,S02001305,1
S02001249,S02001306,1
S02001249,S02001307,1
S02001249,S02001308,3
S02001249,S02001309,2
S02001249,S02001310,20
S02001249,S02001311,2
S02001249,S02001313,2
S02001249,S02001315,1
S02001249,S02001317,3
S02001249,S02001323,1
S02001249,S02001331,1
S02001249,S02001332,1
S02001249,S02001336,2
S02001249,S02001341,1
S02001249,S02001359,1
S02001249,S02001361,1
S02001249,S02001448,1
S02001249,S02001566,1
S02001249,S02001758,1
S02001249,S02002086,1
S02001250,England,2
S02001250,OD0000001,95
S02001250,OD0000002,11
S02001250,OD0000003,31
S02001250,S02001236,3
S02001250,S02001237,2
S02001250,S02001238,14
S02001250,S02001239,48
S02001250,S02001242,5
S02001250,S02001243,8
S02001250,S02001244,4
S02001250,S02001245,32
S02001250,S02001246,3
S02001250,S02001247,16
S02001250,S02001248,2
S02001250,S02001249,97
S02001250,S02001250,70
S02001250,S02001251,10
S02001250,S02001252,1
S02001250,S02001254,2
S02001250,S02001256,32
S02001250,S02001257,2
S02001250,S02001258,1
S02001250,S02001259,24
S02001250,S02001260,6
S02001250,S02001261,50
S02001250,S02001262,8
S02001250,S02001263,7
S02001250,S02001264,35
S02001250,S02001265,7
S02001250,S02001266,1
S02001250,S02001267,2
S02001250,S02001268,6
S02001250,S02001270,3
S02001250,S02001275,1
S02001250,S02001277,27
S02001250,S02001278,6
S02001250,S02001279,3
S02001250,S02001281,7
S02001250,S02001282,5
S02001250,S02001283,5
S02001250,S02001284,5
S02001250,S02001294,1
S02001250,S02001295,5
S02001250,S02001296,1
S02001250,S02001297,2
S02001250,S02001299,1
S02001250,S02001301,1
S02001250,S02001303,1
S02001250,S02001304,2
S02001250,S02001305,1
S02001250,S02001309,2
S02001250,S02001310,6
S02001250,S02001313,1
S02001250,S02001319,1
S02001250,S02001334,1
S02001250,S02001451,1
S02001250,S02001471,1
S02001250,S02002088,1
S02001251,England,4
S02001251,OD0000001,154
S02001251,OD0000002,8
S02001251,OD0000003,48
S02001251,S02001236,5
S02001251,S02001237,2
S02001251,S02001238,25
S02001251,S02001239,67
S02001251,S02001240,6
S02001251,S02001241,1
S02001251,S02001242,6
S02001251,S02001243,21
S02001251,S02001244,19
S02001251,S02001245,87
S02001251,S02001246,9
S02001251,S02001247,87
S02001251,S02001248,12
S02001251,S02001249,167
S02001251,S02001250,106
S02001251,S02001251,37
S02001251,S02001252,11
S02001251,S02001253,2
S02001251,S02001254,18
S02001251,S02001255,2
S02001251,S02001256,108
S02001251,S02001257,10
S02001251,S02001258,12
S02001251,S02001259,23
S02001251,S02001260,9
S02001251,S02001261,83
