Area of Usual Residence,Area of Workplace,Males
S02001318,S02001296,9
S02001318,S02001298,2
S02001318,S02001299,3
S02001318,S02001300,1
S02001318,S02001301,4
S02001318,S02001302,1
S02001318,S02001303,28
S02001318,S02001304,43
S02001318,S02001305,29
S02001318,S02001306,25
S02001318,S02001307,5
S02001318,S02001308,3
S02001318,S02001309,1
S02001318,S02001310,26
S02001318,S02001311,7
S02001318,S02001312,2
S02001318,S02001313,6
S02001318,S02001314,2
S02001318,S02001315,4
S02001318,S02001316,11
S02001318,S02001317,36
S02001318,S02001318,73
S02001318,S02001319,11
S02001318,S02001320,1
S02001318,S02001321,7
S02001318,S02001322,8
S02001318,S02001323,16
S02001318,S02001325,1
S02001318,S02001326,7
S02001318,S02001328,4
S02001318,S02001329,2
S02001318,S02001330,4
S02001318,S02001331,2
S02001318,S02001332,1
S02001318,S02001334,4
S02001318,S02001335,2
S02001318,S02001336,7
S02001318,S02001338,1
S02001318,S02001339,1
S02001318,S02001340,2
S02001318,S02001341,2
S02001318,S02001342,3
S02001318,S02001343,1
S02001318,S02001387,1
S02001318,S02002074,1
S02001318,S02002077,2
S02001318,S02002082,1
S02001318,S02002092,1
S02001318,S02002323,2
S02001318,S02002395,1
S02001319,England,7
S02001319,OD0000001,217
S02001319,OD0000002,52
S02001319,OD0000003,206
S02001319,OD0000004,16
S02001319,S02001238,2
S02001319,S02001239,2
S02001319,S02001242,2
S02001319,S02001243,12
S02001319,S02001244,2
S02001319,S02001245,6
S02001319,S02001247,12
S02001319,S02001248,1
S02001319,S02001249,34
S02001319,S02001250,25
S02001319,S02001251,2
S02001319,S02001252,1
S02001319,S02001254,5
S02001319,S02001256,31
S02001319,S02001257,4
S02001319,S02001258,1
S02001319,S02001259,8
S02001319,S02001260,4
S02001319,S02001261,21
S02001319,S02001262,4
S02001319,S02001263,7
S02001319,S02001264,3
S02001319,S02001265,3
S02001319,S02001269,2
S02001319,S02001270,1
S02001319,S02001272,1
S02001319,S02001273,4
S02001319,S02001275,6
S02001319,S02001276,3
S02001319,S02001277,119
S02001319,S02001278,31
S02001319,S02001280,1
S02001319,S02001281,1
S02001319,S02001282,6
S02001319,S02001283,6
S02001319,S02001284,15
S02001319,S02001286,4
S02001319,S02001295,9
S02001319,S02001296,5
S02001319,S02001297,1
S02001319,S02001301,12
S02001319,S02001302,6
S02001319,S02001303,41
S02001319,S02001304,68
S02001319,S02001305,47
S02001319,S02001306,31
S02001319,S02001307,6
S02001319,S02001308,6
S02001319,S02001309,1
S02001319,S02001310,37
S02001319,S02001311,3
S02001319,S02001312,5
S02001319,S02001313,5
S02001319,S02001314,2
S02001319,S02001315,1
S02001319,S02001316,2
S02001319,S02001317,29
S02001319,S02001318,12
S02001319,S02001319,73
S02001319,S02001320,22
S02001319,S02001321,24
S02001319,S02001322,6
S02001319,S02001323,9
S02001319,S02001324,3
S02001319,S02001325,1
S02001319,S02001326,1
S02001319,S02001329,1
S02001319,S02001330,1
S02001319,S02001334,3
S02001319,S02001336,3
S02001319,S02001338,3
S02001319,S02001339,1
S02001319,S02001340,2
S02001319,S02001341,2
S02001319,S02001342,2
S02001319,S02001343,5
S02001319,S02001356,1
S02001319,S02001714,1
S02001319,S02001983,1
S02001319,S02001984,2
S02001319,S02002074,1
S02001319,S02002075,3
S02001319,S02002076,3
S02001319,S02002077,1
S02001319,S02002084,1
S02001319,S02002087,4
S02001319,S02002088,1
S02001319,S02002092,2
S02001319,S02002096,1
S02001319,S02002109,1
S02001319,S02002194,1
S02001319,S02002235,1
S02001319,S02002327,1
S02001320,England,8
S02001320,OD0000001,329
S02001320,OD0000002,46
S02001320,OD0000003,222
S02001320,OD0000004,8
S02001320,S02001238,3
S02001320,S02001239,4
S02001320,S02001241,1
S02001320,S02001242,2
S02001320,S02001243,4
S02001320,S02001244,2
S02001320,S02001245,12
S02001320,S02001247,12
S02001320,S02001248,1
S02001320,S02001249,20
S02001320,S02001250,8
S02001320,S02001251,3
S02001320,S02001252,1
S02001320,S02001254,4
S02001320,S02001256,37
S02001320,S02001258,2
S02001320,S02001259,3
S02001320,S02001260,6
S02001320,S02001261,11
S02001320,S02001262,1
S02001320,S02001263,3
S02001320,S02001264,6
S02001320,S02001265,2
S02001320,S02001266,1
S02001320,S02001267,2
S02001320,S02001268,1
S02001320,S02001270,3
S02001320,S02001276,1
S02001320,S02001277,70
S02001320,S02001278,10
S02001320,S02001279,2
S02001320,S02001281,1
S02001320,S02001282,2
S02001320,S02001283,2
S02001320,S02001284,12
S02001320,S02001286,4
S02001320,S02001291,3
S02001320,S02001292,2
S02001320,S02001295,9
S02001320,S02001296,10
S02001320,S02001297,2
S02001320,S02001298,5
S02001320,S02001299,2
S02001320,S02001300,10
S02001320,S02001301,40
S02001320,S02001302,2
S02001320,S02001303,21
S02001320,S02001304,23
S02001320,S02001305,19
S02001320,S02001306,16
S02001320,S02001307,5
S02001320,S02001308,4
S02001320,S02001309,1
S02001320,S02001310,23
S02001320,S02001311,1
S02001320,S02001312,2
S02001320,S02001313,2
S02001320,S02001314,1
S02001320,S02001315,2
S02001320,S02001316,2
S02001320,S02001317,9
S02001320,S02001318,8
S02001320,S02001319,21
S02001320,S02001320,75
S02001320,S02001321,102
S02001320,S02001322,6
S02001320,S02001323,4
S02001320,S02001324,3
S02001320,S02001325,5
S02001320,S02001326,10
S02001320,S02001327,2
S02001320,S02001328,1
S02001320,S02001330,1
S02001320,S02001334,2
S02001320,S02001338,1
S02001320,S02001340,1
S02001320,S02001343,7
S02001320,S02001448,1
S02001320,S02001622,1
S02001320,S02001799,1
S02001320,S02001838,1
S02001320,S02001988,1
S02001320,S02001998,1
S02001320,S02002002,1
S02001320,S02002073,7
S02001320,S02002074,6
S02001320,S02002075,11
S02001320,S02002076,7
S02001320,S02002078,1
S02001320,S02002079,3
S02001320,S02002080,4
S02001320,S02002082,3
S02001320,S02002084,7
S02001320,S02002088,1
S02001320,S02002089,1
S02001320,S02002090,1
S02001320,S02002092,2
S02001320,S02002449,1
S02001321,England,4
S02001321,NI,1
S02001321,OD0000001,84
S02001321,OD0000002,52
S02001321,OD0000003,159
S02001321,OD0000004,15
S02001321,S02001239,2
S02001321,S02001244,3
S02001321,S02001245,2
S02001321,S02001247,5
S02001321,S02001249,6
S02001321,S02001250,10
S02001321,S02001252,1
S02001321,S02001253,1
S02001321,S02001254,2
S02001321,S02001256,19
S02001321,S02001257,1
S02001321,S02001259,3
S02001321,S02001260,1
S02001321,S02001261,5
S02001321,S02001262,1
S02001321,S02001263,2
S02001321,S02001264,3
S02001321,S02001265,1
S02001321,S02001266,2
S02001321,S02001269,1
S02001321,S02001270,1
S02001321,S02001274,2
S02001321,S02001275,2
S02001321,S02001276,1
S02001321,S02001277,54
S02001321,S02001278,15
S02001321,S02001281,1
S02001321,S02001282,1
S02001321,S02001283,8
S02001321,S02001284,3
S02001321,S02001289,1
S02001321,S02001294,2
S02001321,S02001295,3
S02001321,S02001296,3
S02001321,S02001297,2
S02001321,S02001299,1
S02001321,S02001300,2
S02001321,S02001301,4
S02001321,S02001303,30
S02001321,S02001304,34
S02001321,S02001305,10
S02001321,S02001306,12
S02001321,S02001307,7
S02001321,S02001308,2
S02001321,S02001309,1
S02001321,S02001310,8
S02001321,S02001311,3
S02001321,S02001312,3
S02001321,S02001313,2
S02001321,S02001315,1
S02001321,S02001317,8
S02001321,S02001318,8
S02001321,S02001319,9
S02001321,S02001320,65
S02001321,S02001321,277
S02001321,S02001322,3
S02001321,S02001323,9
S02001321,S02001324,3
S02001321,S02001325,6
S02001321,S02001326,4
S02001321,S02001328,4
S02001321,S02001334,4
S02001321,S02001336,4
S02001321,S02001341,1
S02001321,S02001342,1
S02001321,S02001343,2
S02001321,S02001677,1
S02001321,S02001988,2
S02001321,S02002073,4
S02001321,S02002074,6
S02001321,S02002075,17
S02001321,S02002076,9
S02001321,S02002078,1
S02001321,S02002079,1
S02001321,S02002080,1
S02001321,S02002081,2
S02001321,S02002082,1
S02001321,S02002083,1
S02001321,S02002084,4
S02001321,S02002085,1
S02001321,S02002086,1
S02001321,S02002087,4
S02001321,S02002088,2
S02001321,S02002089,1
S02001321,S02002094,2
S02001321,S02002096,1
S02001321,S02002327,1
S02001322,England,6
S02001322,OD0000001,206
S02001322,OD0000002,62
S02001322,OD0000003,141
S02001322,OD0000004,12
S02001322,S02001238,1
S02001322,S02001242,1
S02001322,S02001243,2
S02001322,S02001244,5
S02001322,S02001245,3
S02001322,S02001247,3
S02001322,S02001249,5
S02001322,S02001250,5
S02001322,S02001251,3
S02001322,S02001254,2
S02001322,S02001256,9
S02001322,S02001258,1
S02001322,S02001259,1
S02001322,S02001260,2
S02001322,S02001261,6
S02001322,S02001263,1
S02001322,S02001264,2
S02001322,S02001276,1
S02001322,S02001277,61
S02001322,S02001278,11
S02001322,S02001279,1
S02001322,S02001282,2
S02001322,S02001283,9
S02001322,S02001284,5
S02001322,S02001287,1
S02001322,S02001291,1
S02001322,S02001295,4
S02001322,S02001296,1
S02001322,S02001301,4
S02001322,S02001303,6
S02001322,S02001304,15
S02001322,S02001305,10
S02001322,S02001306,11
S02001322,S02001307,3
S02001322,S02001310,7
S02001322,S02001311,1
S02001322,S02001312,1
S02001322,S02001313,5
S02001322,S02001314,1
S02001322,S02001316,3
S02001322,S02001317,7
S02001322,S02001318,17
S02001322,S02001319,13
S02001322,S02001320,1
S02001322,S02001321,16
S02001322,S02001322,64
S02001322,S02001323,83
S02001322,S02001324,7
S02001322,S02001325,4
S02001322,S02001326,9
S02001322,S02001327,5
S02001322,S02001328,9
S02001322,S02001329,8
S02001322,S02001330,6
S02001322,S02001331,2
S02001322,S02001332,2
S02001322,S02001333,1
S02001322,S02001334,4
S02001322,S02001336,2
S02001322,S02001340,1
S02001322,S02001341,2
S02001322,S02001342,1
S02001322,S02001343,3
S02001322,S02001622,2
S02001322,S02002075,2
S02001322,S02002076,4
S02001322,S02002077,1
S02001322,S02002082,2
S02001322,S02002083,1
S02001322,S02002084,1
S02001322,S02002092,1
S02001322,S02002093,1
S02001322,S02002096,2
S02001322,S02002299,1
S02001322,S02002327,1
S02001323,England,2
S02001323,OD0000001,78
S02001323,OD0000002,98
S02001323,OD0000003,210
S02001323,OD0000004,13
S02001323,S02001238,1
S02001323,S02001242,1
S02001323,S02001243,2
S02001323,S02001245,2
S02001323,S02001247,5
S02001323,S02001249,6
S02001323,S02001250,9
S02001323,S02001251,2
S02001323,S02001252,3
S02001323,S02001254,5
S02001323,S02001256,13
S02001323,S02001257,5
S02001323,S02001259,5
S02001323,S02001260,4
S02001323,S02001261,7
S02001323,S02001262,1
S02001323,S02001263,4
S02001323,S02001268,1
S02001323,S02001270,4
S02001323,S02001275,5
S02001323,S02001276,5
S02001323,S02001277,53
S02001323,S02001278,25
S02001323,S02001280,1
S02001323,S02001281,1
S02001323,S02001283,9
S02001323,S02001284,12
S02001323,S02001290,1
S02001323,S02001291,1
S02001323,S02001294,1
S02001323,S02001295,3
S02001323,S02001298,2
S02001323,S02001301,2
S02001323,S02001303,20
S02001323,S02001304,19
S02001323,S02001305,14
S02001323,S02001306,10
S02001323,S02001307,4
S02001323,S02001308,1
S02001323,S02001310,15
S02001323,S02001311,2
S02001323,S02001312,22
S02001323,S02001313,5
S02001323,S02001315,3
S02001323,S02001316,2
S02001323,S02001317,18
S02001323,S02001318,15
S02001323,S02001319,5
S02001323,S02001320,4
S02001323,S02001321,9
S02001323,S02001322,85
S02001323,S02001323,269
S02001323,S02001324,10
S02001323,S02001325,5
S02001323,S02001326,12
S02001323,S02001327,11
S02001323,S02001328,36
S02001323,S02001329,15
S02001323,S02001330,9
S02001323,S02001331,1
S02001323,S02001332,3
S02001323,S02001334,7
S02001323,S02001336,9
S02001323,S02001337,1
S02001323,S02001338,3
S02001323,S02001340,1
S02001323,S02001342,1
S02001323,S02001343,7
S02001323,S02001359,1
S02001323,S02001363,1
S02001323,S02001714,2
S02001323,S02001998,1
S02001323,S02002076,2
S02001323,S02002078,1
S02001323,S02002082,1
S02001323,S02002084,2
S02001323,S02002085,1
S02001324,England,4
S02001324,OD0000001,140
S02001324,OD0000002,89
S02001324,OD0000003,147
S02001324,OD0000004,10
S02001324,S02001239,2
S02001324,S02001244,1
S02001324,S02001245,1
S02001324,S02001249,3
S02001324,S02001250,6
S02001324,S02001251,1
S02001324,S02001252,1
S02001324,S02001256,4
S02001324,S02001259,2
S02001324,S02001260,2
S02001324,S02001261,1
S02001324,S02001264,1
S02001324,S02001268,1
S02001324,S02001275,2
S02001324,S02001277,23
S02001324,S02001278,6
S02001324,S02001279,1
S02001324,S02001283,4
S02001324,S02001284,2
S02001324,S02001290,1
S02001324,S02001294,1
S02001324,S02001295,3
S02001324,S02001297,3
S02001324,S02001301,3
S02001324,S02001303,3
S02001324,S02001304,7
S02001324,S02001305,9
S02001324,S02001306,2
S02001324,S02001307,2
S02001324,S02001309,1
S02001324,S02001310,1
S02001324,S02001312,3
S02001324,S02001313,1
S02001324,S02001317,2
S02001324,S02001318,2
S02001324,S02001319,4
S02001324,S02001321,10
S02001324,S02001322,9
S02001324,S02001323,14
S02001324,S02001324,109
S02001324,S02001325,16
S02001324,S02001326,35
S02001324,S02001327,30
S02001324,S02001328,9
S02001324,S02001334,2
S02001324,S02001336,1
S02001324,S02001337,1
S02001324,S02001338,1
S02001324,S02001339,2
S02001324,S02001341,4
S02001324,S02001342,4
S02001324,S02001357,1
S02001324,S02001762,1
S02001324,S02002074,5
S02001324,S02002075,7
S02001324,S02002076,12
S02001324,S02002077,11
S02001324,S02002078,14
S02001324,S02002079,6
S02001324,S02002081,2
S02001324,S02002082,8
S02001324,S02002083,1
S02001324,S02002084,10
S02001324,S02002086,1
S02001324,S02002087,2
S02001324,S02002088,1
S02001324,S02002093,1
S02001325,England,4
S02001325,OD0000001,173
S02001325,OD0000002,95
S02001325,OD0000003,172
S02001325,OD0000004,11
S02001325,S02001236,1
S02001325,S02001239,2
S02001325,S02001242,1
S02001325,S02001243,3
S02001325,S02001245,3
S02001325,S02001247,2
S02001325,S02001249,7
S02001325,S02001250,4
S02001325,S02001252,1
S02001325,S02001254,1
S02001325,S02001256,9
S02001325,S02001257,1
S02001325,S02001258,3
S02001325,S02001259,3
S02001325,S02001260,1
S02001325,S02001261,2
S02001325,S02001262,3
S02001325,S02001264,2
S02001325,S02001266,1
S02001325,S02001270,3
S02001325,S02001276,1
S02001325,S02001277,29
S02001325,S02001278,3
S02001325,S02001279,1
S02001325,S02001282,2
S02001325,S02001283,4
S02001325,S02001284,8
S02001325,S02001288,1
S02001325,S02001290,1
S02001325,S02001291,2
S02001325,S02001295,1
S02001325,S02001296,1
S02001325,S02001297,1
S02001325,S02001299,1
S02001325,S02001302,1
S02001325,S02001303,11
S02001325,S02001304,14
S02001325,S02001305,5
S02001325,S02001306,5
S02001325,S02001307,5
S02001325,S02001310,6
S02001325,S02001311,1
S02001325,S02001312,2
S02001325,S02001313,2
S02001325,S02001315,1
S02001325,S02001316,4
S02001325,S02001317,2
S02001325,S02001318,9
S02001325,S02001319,2
S02001325,S02001320,6
S02001325,S02001321,24
S02001325,S02001322,23
S02001325,S02001323,46
S02001325,S02001324,33
S02001325,S02001325,89
S02001325,S02001326,73
S02001325,S02001327,36
S02001325,S02001328,15
S02001325,S02001330,3
S02001325,S02001331,1
S02001325,S02001333,1
S02001325,S02001334,3
S02001325,S02001337,1
S02001325,S02001338,4
S02001325,S02001339,1
S02001325,S02001340,3
S02001325,S02001342,3
S02001325,S02001343,8
S02001325,S02001352,1
S02001325,S02001623,2
S02001325,S02001860,1
S02001325,S02001932,1
S02001325,S02001943,1
S02001325,S02001986,1
S02001325,S02002032,1
S02001325,S02002033,5
S02001325,S02002075,3
S02001325,S02002076,3
S02001325,S02002077,5
S02001325,S02002079,3
S02001325,S02002080,1
S02001325,S02002081,2
S02001325,S02002082,3
S02001325,S02002084,4
S02001325,S02002085,1
S02001325,S02002087,7
S02001325,S02002089,1
S02001325,S02002091,2
S02001325,S02002093,1
S02001325,Wales,1
S02001326,England,6
S02001326,OD0000001,81
S02001326,OD0000002,81
S02001326,OD0000003,143
S02001326,OD0000004,16
S02001326,S02001242,1
S02001326,S02001243,1
S02001326,S02001245,6
S02001326,S02001247,2
S02001326,S02001249,5
S02001326,S02001250,3
S02001326,S02001251,1
S02001326,S02001253,1
S02001326,S02001254,2
S02001326,S02001256,5
S02001326,S02001257,3
S02001326,S02001259,7
S02001326,S02001260,2
S02001326,S02001261,7
S02001326,S02001263,1
S02001326,S02001264,1
S02001326,S02001265,1
S02001326,S02001266,1
S02001326,S02001270,1
S02001326,S02001271,1
S02001326,S02001276,1
S02001326,S02001277,24
S02001326,S02001278,8
S02001326,S02001282,1
S02001326,S02001283,4
S02001326,S02001284,2
S02001326,S02001285,1
S02001326,S02001289,1
S02001326,S02001290,1
S02001326,S02001291,1
S02001326,S02001292,1
S02001326,S02001296,2
S02001326,S02001303,8
S02001326,S02001304,5
S02001326,S02001305,2
S02001326,S02001306,3
S02001326,S02001307,1
S02001326,S02001308,1
S02001326,S02001310,2
S02001326,S02001312,1
S02001326,S02001313,1
S02001326,S02001316,1
S02001326,S02001318,4
S02001326,S02001319,1
S02001326,S02001320,2
S02001326,S02001321,5
S02001326,S02001322,15
S02001326,S02001323,62
S02001326,S02001324,29
S02001326,S02001325,56
S02001326,S02001326,171
S02001326,S02001327,77
S02001326,S02001328,22
S02001326,S02001329,2
S02001326,S02001330,9
S02001326,S02001334,12
S02001326,S02001336,4
S02001326,S02001338,7
S02001326,S02001339,1
S02001326,S02001340,5
S02001326,S02001341,9
S02001326,S02001342,5
S02001326,S02001343,19
S02001326,S02001440,1
S02001326,S02002073,3
S02001326,S02002075,2
S02001326,S02002076,1
S02001326,S02002077,4
S02001326,S02002078,5
S02001326,S02002079,5
S02001326,S02002080,1
S02001326,S02002081,1
S02001326,S02002082,2
S02001326,S02002084,2
S02001326,S02002085,2
S02001326,S02002086,1
S02001326,S02002087,3
S02001326,S02002088,1
S02001326,S02002091,1
S02001326,S02002235,2
S02001327,England,6
S02001327,OD0000001,88
S02001327,OD0000002,153
S02001327,OD0000003,143
S02001327,OD0000004,18
S02001327,S02001236,1
S02001327,S02001239,1
S02001327,S02001244,2
S02001327,S02001245,2
S02001327,S02001246,1
S02001327,S02001247,2
S02001327,S02001249,4
S02001327,S02001250,16
S02001327,S02001254,1
S02001327,S02001256,3
S02001327,S02001257,1
S02001327,S02001259,7
S02001327,S02001261,4
S02001327,S02001270,1
S02001327,S02001275,2
S02001327,S02001276,1
S02001327,S02001277,34
S02001327,S02001278,7
S02001327,S02001279,1
S02001327,S02001283,2
S02001327,S02001284,2
S02001327,S02001285,2
S02001327,S02001290,2
S02001327,S02001295,1
S02001327,S02001297,1
S02001327,S02001301,1
S02001327,S02001303,2
S02001327,S02001304,4
S02001327,S02001306,1
S02001327,S02001307,5
S02001327,S02001310,8
S02001327,S02001312,1
S02001327,S02001313,3
S02001327,S02001315,1
S02001327,S02001318,5
S02001327,S02001319,2
S02001327,S02001320,1
S02001327,S02001321,5
S02001327,S02001322,22
S02001327,S02001323,52
S02001327,S02001324,22
S02001327,S02001325,32
S02001327,S02001326,112
S02001327,S02001327,146
S02001327,S02001328,17
S02001327,S02001329,4
S02001327,S02001330,7
S02001327,S02001331,2
S02001327,S02001332,6
S02001327,S02001334,3
S02001327,S02001336,12
S02001327,S02001337,2
S02001327,S02001338,3
S02001327,S02001339,2
S02001327,S02001340,1
S02001327,S02001341,5
S02001327,S02001342,7
S02001327,S02001343,6
S02001327,S02001371,1
S02001327,S02001387,1
S02001327,S02001615,1
S02001327,S02001838,2
S02001327,S02002032,3
S02001327,S02002033,5
S02001327,S02002075,2
S02001327,S02002076,3
S02001327,S02002077,1
S02001327,S02002078,2
S02001327,S02002079,7
S02001327,S02002081,1
S02001327,S02002082,1
S02001327,S02002087,2
S02001327,S02002093,1
S02001327,S02002094,1
S02001327,S02002096,1
S02001327,S02002243,1
S02001327,S02002324,4
S02001327,S02002492,1
S02001328,England,5
S02001328,OD0000001,190
S02001328,OD0000002,68
S02001328,OD0000003,140
S02001328,OD0000004,10
S02001328,S02001238,1
S02001328,S02001239,2
S02001328,S02001242,1
S02001328,S02001243,1
S02001328,S02001245,3
S02001328,S02001246,1
S02001328,S02001247,1
S02001328,S02001249,8
S02001328,S02001250,10
S02001328,S02001251,2
S02001328,S02001252,1
S02001328,S02001253,1
S02001328,S02001254,1
S02001328,S02001256,8
S02001328,S02001257,2
S02001328,S02001259,4
S02001328,S02001261,2
S02001328,S02001263,3
S02001328,S02001264,1
S02001328,S02001266,1
S02001328,S02001270,1
S02001328,S02001275,4
S02001328,S02001277,32
S02001328,S02001278,5
S02001328,S02001280,1
S02001328,S02001282,1
S02001328,S02001283,9
S02001328,S02001284,2
S02001328,S02001286,1
S02001328,S02001295,1
S02001328,S02001296,2
S02001328,S02001297,1
S02001328,S02001298,2
S02001328,S02001301,1
S02001328,S02001302,1
S02001328,S02001303,6
S02001328,S02001304,6
S02001328,S02001305,6
S02001328,S02001306,8
S02001328,S02001307,3
S02001328,S02001310,6
S02001328,S02001311,1
S02001328,S02001312,2
S02001328,S02001313,3
S02001328,S02001315,1
S02001328,S02001316,1
S02001328,S02001317,5
S02001328,S02001318,8
S02001328,S02001321,7
S02001328,S02001322,28
S02001328,S02001323,38
S02001328,S02001324,5
S02001328,S02001325,5
S02001328,S02001326,37
S02001328,S02001327,31
S02001328,S02001328,82
S02001328,S02001329,10
S02001328,S02001330,6
S02001328,S02001331,5
S02001328,S02001332,1
S02001328,S02001333,1
S02001328,S02001334,4
S02001328,S02001336,8
S02001328,S02001337,2
S02001328,S02001338,4
S02001328,S02001339,3
S02001328,S02001340,4
S02001328,S02001341,9
S02001328,S02001342,4
S02001328,S02001343,43
S02001328,S02001362,1
S02001328,S02001380,1
S02001328,S02001620,1
S02001328,S02001660,1
S02001328,S02002075,1
S02001328,S02002076,2
S02001328,S02002078,1
S02001328,S02002079,1
S02001328,S02002080,1
S02001328,S02002087,4
S02001328,S02002094,1
S02001329,England,2
S02001329,OD0000001,171
S02001329,OD0000002,55
S02001329,OD0000003,130
S02001329,OD0000004,6
S02001329,S02001238,1
S02001329,S02001239,1
S02001329,S02001243,2
S02001329,S02001244,2
S02001329,S02001245,3
S02001329,S02001247,4
S02001329,S02001249,5
S02001329,S02001250,8
S02001329,S02001252,1
S02001329,S02001254,3
S02001329,S02001256,10
S02001329,S02001257,4
S02001329,S02001259,6
S02001329,S02001260,1
S02001329,S02001261,3
S02001329,S02001262,2
S02001329,S02001263,1
S02001329,S02001264,2
S02001329,S02001265,1
S02001329,S02001269,3
S02001329,S02001273,1
S02001329,S02001275,1
S02001329,S02001276,1
S02001329,S02001277,26
S02001329,S02001278,2
S02001329,S02001282,2
S02001329,S02001283,3
S02001329,S02001284,7
S02001329,S02001286,1
S02001329,S02001287,1
S02001329,S02001291,1
S02001329,S02001292,2
S02001329,S02001295,2
S02001329,S02001296,1
S02001329,S02001297,2
S02001329,S02001302,1
S02001329,S02001303,6
S02001329,S02001304,5
S02001329,S02001305,5
S02001329,S02001306,8
S02001329,S02001310,5
S02001329,S02001311,4
S02001329,S02001312,13
S02001329,S02001313,8
S02001329,S02001314,2
S02001329,S02001315,6
S02001329,S02001316,5
S02001329,S02001317,2
S02001329,S02001318,7
S02001329,S02001319,1
S02001329,S02001322,11
S02001329,S02001323,17
S02001329,S02001324,1
S02001329,S02001325,3
S02001329,S02001326,7
S02001329,S02001327,6
S02001329,S02001328,16
S02001329,S02001329,81
S02001329,S02001330,22
S02001329,S02001331,5
S02001329,S02001333,1
S02001329,S02001334,31
S02001329,S02001336,14
S02001329,S02001337,6
S02001329,S02001338,37
S02001329,S02001339,14
S02001329,S02001340,23
S02001329,S02001341,13
S02001329,S02001342,19
S02001329,S02001343,49
S02001329,S02001347,1
S02001329,S02001351,1
S02001329,S02001356,1
S02001329,S02001387,3
S02001329,S02001683,1
S02001329,S02001998,1
S02001329,S02002080,1
S02001329,S02002084,1
S02001329,S02002322,1
S02001329,S02002324,1
S02001330,England,7
S02001330,OD0000001,213
S02001330,OD0000002,81
S02001330,OD0000003,200
S02001330,OD0000004,11
S02001330,S02001238,1
S02001330,S02001239,2
S02001330,S02001241,1
S02001330,S02001243,2
S02001330,S02001244,3
S02001330,S02001245,5
S02001330,S02001247,7
S02001330,S02001249,16
S02001330,S02001250,17
S02001330,S02001251,1
S02001330,S02001252,2
S02001330,S02001254,1
S02001330,S02001256,28
S02001330,S02001257,3
S02001330,S02001258,2
S02001330,S02001259,11
S02001330,S02001260,3
S02001330,S02001261,11
S02001330,S02001263,6
S02001330,S02001264,4
S02001330,S02001265,3
S02001330,S02001266,3
S02001330,S02001267,1
S02001330,S02001270,1
S02001330,S02001275,4
S02001330,S02001276,3
S02001330,S02001277,75
S02001330,S02001278,13
S02001330,S02001282,5
S02001330,S02001283,12
S02001330,S02001284,5
S02001330,S02001286,1
S02001330,S02001289,2
S02001330,S02001291,1
S02001330,S02001295,1
S02001330,S02001296,3
S02001330,S02001299,2
S02001330,S02001302,2
S02001330,S02001303,6
S02001330,S02001304,5
S02001330,S02001305,7
S02001330,S02001306,5
S02001330,S02001307,2
S02001330,S02001310,9
S02001330,S02001311,1
S02001330,S02001312,5
S02001330,S02001313,18
S02001330,S02001314,3
S02001330,S02001315,11
S02001330,S02001316,7
S02001330,S02001317,10
S02001330,S02001318,3
S02001330,S02001319,1
S02001330,S02001320,1
S02001330,S02001321,2
S02001330,S02001322,3
S02001330,S02001323,6
S02001330,S02001328,1
S02001330,S02001329,28
S02001330,S02001330,99
S02001330,S02001331,36
S02001330,S02001332,21
S02001330,S02001333,9
S02001330,S02001334,57
S02001330,S02001335,4
S02001330,S02001336,52
S02001330,S02001337,17
S02001330,S02001338,59
S02001330,S02001339,19
S02001330,S02001340,29
S02001330,S02001341,10
S02001330,S02001342,16
S02001330,S02001343,35
S02001330,S02001357,1
S02001330,S02001623,1
S02001330,S02001660,1
S02001330,S02001890,1
S02001330,S02002011,1
S02001330,S02002076,1
S02001330,S02002327,1
S02001331,England,3
S02001331,OD0000001,48
S02001331,OD0000002,47
S02001331,OD0000003,93
S02001331,OD0000004,7
S02001331,S02001243,1
S02001331,S02001244,4
S02001331,S02001245,3
S02001331,S02001247,2
S02001331,S02001248,1
S02001331,S02001249,6
S02001331,S02001250,3
S02001331,S02001251,1
S02001331,S02001252,2
S02001331,S02001253,1
S02001331,S02001254,6
S02001331,S02001256,18
S02001331,S02001257,4
S02001331,S02001259,8
S02001331,S02001261,7
S02001331,S02001264,1
S02001331,S02001266,2
S02001331,S02001269,2
S02001331,S02001277,43
S02001331,S02001278,7
S02001331,S02001282,2
S02001331,S02001283,9
S02001331,S02001284,12
S02001331,S02001290,1
S02001331,S02001294,1
S02001331,S02001295,4
S02001331,S02001299,1
S02001331,S02001300,1
S02001331,S02001302,1
S02001331,S02001304,1
S02001331,S02001305,3
S02001331,S02001306,2
S02001331,S02001307,1
S02001331,S02001312,1
S02001331,S02001313,18
S02001331,S02001314,4
S02001331,S02001315,7
S02001331,S02001317,2
S02001331,S02001322,1
S02001331,S02001323,1
S02001331,S02001326,3
S02001331,S02001328,1
S02001331,S02001329,7
S02001331,S02001330,13
S02001331,S02001331,31
S02001331,S02001332,12
S02001331,S02001334,46
S02001331,S02001335,2
S02001331,S02001336,51
S02001331,S02001337,14
S02001331,S02001338,56
S02001331,S02001339,4
S02001331,S02001340,8
S02001331,S02001341,4
S02001331,S02001342,11
S02001331,S02001343,11
S02001331,S02002087,1
S02001332,England,3
S02001332,OD0000001,189
S02001332,OD0000002,53
S02001332,OD0000003,137
S02001332,OD0000004,10
